"ACCOUNT","ACCOUNT NAME","ORG"," "," ","BEG. BALANCE","DEBITS","CREDITS","NET CHANGE","END BALANCE"
"PER","JNL","SRC","EFF DATE","REFERENCE"
"* 8","   697","FAA","02/24/25","       ASSET ACQN                  "," ","                 .00","           43,963.00","         -554,323.01"
"* 8","   698","FAA","02/24/25","       ASSET ACQN                  "," ","                 .00","           43,963.00","         -598,286.01"
"* 8","   699","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            3,849.37","         -602,135.38"
"* 8","   700","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            3,849.37","         -605,984.75"
"* 8","   701","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","               78.57","         -606,063.32"
"* 8","   702","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","               78.57","         -606,141.89"
"* 8","   703","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            6,604.20","         -612,746.09"
"* 8","   704","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            6,604.20","         -619,350.29"
"* 8","   705","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            6,604.20","         -625,954.49"
"* 8","   706","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            1,172.85","         -627,127.34"
"* 8","   707","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            1,172.85","         -628,300.19"
"* 8","   708","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            1,172.85","         -629,473.04"
"* 8","   709","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","              346.28","         -629,819.32"
"* 8","   710","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","              346.28","         -630,165.60"
"* 8","   711","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","              346.28","         -630,511.88"
"* 8","   712","FAM","02/24/25","       ASSET MAINT                 "," ","                 .00","            3,786.39","         -634,298.27"
"* 8","   718","FAR","02/13/25","       ASSET DISP                  "," ","            4,809.00","                 .00","         -629,489.27"
"* 9","   470","FAM","03/17/25","       ASSET MAINT                 "," ","                 .00","              516.00","         -630,005.27"
"*10","   705","FAM","04/30/25","       ASSET MAINT                 "," ","                 .00","            4,089.20","         -634,094.47"
"*10","   707","FAA","04/15/25","       ASSET ACQN                  "," ","                 .00","           33,390.00","         -667,484.47"
"*10","   709","FAA","04/14/25","       ASSET ACQN                  "," ","                 .00","           45,700.00","         -713,184.47"
"*10","   710","FAA","04/04/25","       ASSET ACQN                  "," ","                 .00","           19,758.20","         -732,942.67"
